"cell" "level1class"
"90" "1772071015_C01" "interneurons"
"91" "1772071014_F06" "interneurons"
"92" "1772071017_D10" "interneurons"
"93" "1772071017_C05" "interneurons"
"94" "1772071014_E05" "interneurons"
"95" "1772071017_E04" "interneurons"
"96" "1772058148_D08" "interneurons"
"97" "1772067065_F07" "interneurons"
"98" "1772062128_G08" "interneurons"
"99" "1772066102_B02" "interneurons"
"100" "1772063077_B03" "interneurons"
"101" "1772062114_H03" "interneurons"
"102" "1772066074_A03" "interneurons"
"103" "1772066102_C09" "interneurons"
"104" "1772062114_E02" "interneurons"
"105" "1772063068_G07" "interneurons"
"106" "1772062115_A12" "interneurons"
"107" "1772062113_F08" "interneurons"
"108" "1772066108_B02" "interneurons"
"109" "1772066102_G06" "interneurons"
"110" "1772067059_E03" "interneurons"
"111" "1772071035_G04" "interneurons"
"112" "1772066102_C06" "interneurons"
"113" "1772067057_H02" "interneurons"
"114" "1772062115_G05" "interneurons"
"115" "1772066097_G03" "interneurons"
"116" "1772063064_G08" "interneurons"
"117" "1772067082_B01" "interneurons"
"118" "1772066099_C04" "interneurons"
"119" "1772071040_A12" "interneurons"
"120" "1772063078_F01" "interneurons"
"121" "1772067082_F03" "interneurons"
"122" "1772071044_A03" "interneurons"
"123" "1772067060_B04" "interneurons"
"124" "1772071045_C11" "interneurons"
"125" "1772067083_B10" "interneurons"
"126" "1772066077_E08" "interneurons"
"127" "1772063078_F12" "interneurons"
"128" "1772062115_C05" "interneurons"
"129" "1772066099_C11" "interneurons"
"130" "1772063064_G03" "interneurons"
"131" "1772071036_E09" "interneurons"
"132" "1772062128_D11" "interneurons"
"133" "1772067058_A12" "interneurons"
"134" "1772063078_B02" "interneurons"
"135" "1772066108_E06" "interneurons"
"136" "1772066100_A12" "interneurons"
"137" "1772066073_B03" "interneurons"
"138" "1772067076_A06" "interneurons"
"139" "1772062111_G03" "interneurons"
"140" "1772063061_H03" "interneurons"
"141" "1772066097_H05" "interneurons"
"142" "1772067065_A02" "interneurons"
"143" "1772066077_H12" "interneurons"
"144" "1772062128_G04" "interneurons"
"145" "1772062109_H03" "interneurons"
"146" "1772063063_F01" "interneurons"
"147" "1772062128_B10" "interneurons"
"148" "1772063061_B03" "interneurons"
"149" "1772063061_B05" "interneurons"
"150" "1772058177_G09" "interneurons"
"151" "1772066095_D02" "interneurons"
"152" "1772066097_G12" "interneurons"
"153" "1772066097_G02" "interneurons"
"154" "1772066100_G07" "interneurons"
"155" "1772066097_H01" "interneurons"
"156" "1772071045_H03" "interneurons"
"157" "1772067083_F08" "interneurons"
"158" "1772067083_H01" "interneurons"
"159" "1772066101_F04" "interneurons"
"160" "1772067058_H12" "interneurons"
"161" "1772067082_F02" "interneurons"
"162" "1772067058_H05" "interneurons"
"163" "1772071035_B09" "interneurons"
"164" "1772071015_H07" "interneurons"
"165" "1772071036_C02" "interneurons"
"166" "1772066108_F04" "interneurons"
"167" "1772071035_H02" "interneurons"
"168" "1772062109_H07" "interneurons"
"169" "1772067076_E03" "interneurons"
"170" "1772067059_G10" "interneurons"
"171" "1772067076_D04" "interneurons"
"172" "1772066099_H06" "interneurons"
"173" "1772066102_G12" "interneurons"
"174" "1772071035_E07" "interneurons"
"175" "1772066073_B02" "interneurons"
"176" "1772067076_A03" "interneurons"
"177" "1772066102_B11" "interneurons"
"178" "1772066089_A01" "interneurons"
"179" "1772066099_A01" "interneurons"
"180" "1772067057_H04" "interneurons"
"181" "1772066102_C11" "interneurons"
"182" "1772071045_A10" "interneurons"
"183" "1772066096_G01" "interneurons"
"184" "1772066102_H10" "interneurons"
"185" "1772066099_C12" "interneurons"
"186" "1772071044_H10" "interneurons"
"187" "1772067083_D10" "interneurons"
"188" "1772066099_E04" "interneurons"
"189" "1772066100_D08" "interneurons"
"190" "1772066099_H02" "interneurons"
"191" "1772066089_H04" "interneurons"
"192" "1772066089_B06" "interneurons"
"193" "1772066102_G08" "interneurons"
"194" "1772066102_A04" "interneurons"
"195" "1772066097_B06" "interneurons"
"196" "1772067076_E04" "interneurons"
"197" "1772066097_C06" "interneurons"
"198" "1772067057_D12" "interneurons"
"199" "1772066100_A05" "interneurons"
"200" "1772066101_F03" "interneurons"
"201" "1772071014_A06" "interneurons"
"202" "1772071015_A11" "interneurons"
"203" "1772071015_C09" "interneurons"
"204" "1772063071_A06" "interneurons"
"205" "1772058148_F09" "interneurons"
"206" "1772067066_H09" "interneurons"
"207" "1772067065_G10" "interneurons"
"208" "1772071015_A05" "interneurons"
"209" "1772067065_B10" "interneurons"
"210" "1772067065_A01" "interneurons"
"211" "1772062128_F10" "interneurons"
"212" "1772071017_H06" "interneurons"
"213" "1772071014_A12" "interneurons"
"214" "1772067065_F08" "interneurons"
"215" "1772058148_H04" "interneurons"
"216" "1772066102_B06" "interneurons"
"217" "1772063077_H05" "interneurons"
"218" "1772067076_A12" "interneurons"
"219" "1772067065_B12" "interneurons"
"220" "1772067065_G11" "interneurons"
"221" "1772067066_A10" "interneurons"
"222" "1772067066_E02" "interneurons"
"223" "1772067066_A11" "interneurons"
"224" "1772067065_B09" "interneurons"
"225" "1772067065_F10" "interneurons"
"226" "1772063063_H03" "interneurons"
"227" "1772071017_A01" "interneurons"
"228" "1772067066_D04" "interneurons"
"229" "1772067065_G12" "interneurons"
"230" "1772071017_G05" "interneurons"
"231" "1772071017_D12" "interneurons"
"232" "1772071015_A01" "interneurons"
"233" "1772071017_H10" "interneurons"
"234" "1772063070_B10" "interneurons"
"235" "1772063065_C02" "interneurons"
"236" "1772071015_E10" "interneurons"
"237" "1772067082_B09" "interneurons"
"238" "1772062115_H01" "interneurons"
"239" "1772071041_B06" "interneurons"
"240" "1772066090_C05" "interneurons"
"241" "1772067096_F07" "interneurons"
"242" "1772071015_F05" "interneurons"
"243" "1772067083_G04" "interneurons"
"244" "1772062115_G06" "interneurons"
"245" "1772071015_G09" "interneurons"
"246" "1772066095_F07" "interneurons"
"247" "1772071017_G02" "interneurons"
"248" "1772062111_C11" "interneurons"
"249" "1772058148_H03" "interneurons"
"250" "1772066100_D06" "interneurons"
"251" "1772071017_C10" "interneurons"
"252" "1772071014_B10" "interneurons"
"253" "1772062128_G06" "interneurons"
"254" "1772067057_A08" "interneurons"
"255" "1772063068_F12" "interneurons"
"256" "1772063074_E11" "interneurons"
"257" "1772066100_D04" "interneurons"
"258" "1772066100_F03" "interneurons"
"259" "1772067093_D01" "interneurons"
"260" "1772066100_E01" "interneurons"
"261" "1772067073_C01" "interneurons"
"262" "1772067083_B11" "interneurons"
"263" "1772067054_F12" "interneurons"
"264" "1772058177_D04" "interneurons"
"265" "1772067082_H03" "interneurons"
"266" "1772071017_D01" "interneurons"
"267" "1772067094_H08" "interneurons"
"268" "1772067096_A01" "interneurons"
"269" "1772058148_H08" "interneurons"
"270" "1772067093_F03" "interneurons"
"271" "1772071015_E08" "interneurons"
"272" "1772067083_C02" "interneurons"
"273" "1772066100_H07" "interneurons"
"274" "1772071014_C04" "interneurons"
"275" "1772067096_G05" "interneurons"
"276" "1772071017_A08" "interneurons"
"277" "1772066097_G04" "interneurons"
"278" "1772067094_A09" "interneurons"
"279" "1772067082_D05" "interneurons"
"280" "1772067082_B03" "interneurons"
"281" "1772063064_B06" "interneurons"
"282" "1772067082_D04" "interneurons"
"283" "1772067065_A08" "interneurons"
"284" "1772066100_F08" "interneurons"
"285" "1772067082_C02" "interneurons"
"286" "1772067082_B02" "interneurons"
"287" "1772067093_H07" "interneurons"
"288" "1772071017_A06" "interneurons"
"289" "1772071014_F12" "interneurons"
"290" "1772071014_E02" "interneurons"
"291" "1772067069_H02" "pyramidal SS"
"292" "1772063071_B07" "pyramidal SS"
"293" "1772067073_F04" "pyramidal SS"
"294" "1772067069_A03" "pyramidal SS"
"295" "1772067066_E04" "pyramidal SS"
"296" "1772067063_C05" "pyramidal SS"
"297" "1772067069_C12" "pyramidal SS"
"298" "1772067064_C12" "pyramidal SS"
"299" "1772071041_F07" "pyramidal SS"
"300" "1772071040_B04" "pyramidal SS"
"301" "1772067063_E09" "pyramidal SS"
"302" "1772067070_D04" "pyramidal SS"
"303" "1772067064_C07" "pyramidal SS"
"304" "1772067069_A11" "pyramidal SS"
"305" "1772067064_H09" "pyramidal SS"
"306" "1772071040_B01" "pyramidal SS"
"307" "1772067064_B04" "pyramidal SS"
"308" "1772063063_E12" "pyramidal SS"
"309" "1772067069_D10" "pyramidal SS"
"310" "1772062109_B03" "pyramidal SS"
"311" "1772067064_C09" "pyramidal SS"
"312" "1772067064_D02" "pyramidal SS"
"313" "1772067069_H10" "pyramidal SS"
"314" "1772071017_G01" "pyramidal SS"
"315" "1772067063_B02" "pyramidal SS"
"316" "1772060240_A07" "pyramidal SS"
"317" "1772067073_A01" "pyramidal SS"
"318" "1772067064_B01" "pyramidal SS"
"319" "1772067074_A06" "pyramidal SS"
"320" "1772062116_B04" "pyramidal SS"
"321" "1772071041_G09" "pyramidal SS"
"322" "1772067069_B02" "pyramidal SS"
"323" "1772067070_C01" "pyramidal SS"
"324" "1772067070_A03" "pyramidal SS"
"325" "1772071017_C06" "pyramidal SS"
"326" "1772067064_B05" "pyramidal SS"
"327" "1772067073_C12" "pyramidal SS"
"328" "1772067064_C02" "pyramidal SS"
"329" "1772067070_G11" "pyramidal SS"
"330" "1772067074_F07" "pyramidal SS"
"331" "1772067069_G06" "pyramidal SS"
"332" "1772067070_F07" "pyramidal SS"
"333" "1772071041_H11" "pyramidal SS"
"334" "1772067066_A06" "pyramidal SS"
"335" "1772071040_G08" "pyramidal SS"
"336" "1772067064_G02" "pyramidal SS"
"337" "1772071040_E01" "pyramidal SS"
"338" "1772067070_F03" "pyramidal SS"
"339" "1772067074_D05" "pyramidal SS"
"340" "1772067069_G03" "pyramidal SS"
"341" "1772067070_E11" "pyramidal SS"
"342" "1772071017_D11" "pyramidal SS"
"343" "1772071041_E12" "pyramidal SS"
"344" "1772071041_F09" "pyramidal SS"
"345" "1772071041_D09" "pyramidal SS"
"346" "1772071041_H12" "pyramidal SS"
"347" "1772067073_F08" "pyramidal SS"
"348" "1772071041_D04" "pyramidal SS"
"349" "1772071040_F05" "pyramidal SS"
"350" "1772071041_E01" "pyramidal SS"
"351" "1772071041_G07" "pyramidal SS"
"352" "1772071041_G03" "pyramidal SS"
"353" "1772071041_H09" "pyramidal SS"
"354" "1772071041_G08" "pyramidal SS"
"355" "1772067070_G08" "pyramidal SS"
"356" "1772067064_F02" "pyramidal SS"
"357" "1772067064_F01" "pyramidal SS"
"358" "1772063063_H02" "pyramidal SS"
"359" "1772063065_C11" "pyramidal SS"
"360" "1772063071_G03" "pyramidal SS"
"361" "1772063068_A01" "pyramidal SS"
"362" "1772063071_E06" "pyramidal SS"
"363" "1772071041_A04" "pyramidal SS"
"364" "1772063068_B01" "pyramidal SS"
"365" "1772063070_F03" "pyramidal SS"
"366" "1772063063_G11" "pyramidal SS"
"367" "1772063062_H11" "pyramidal SS"
"368" "1772063077_D06" "pyramidal SS"
"369" "1772071041_H10" "pyramidal SS"
"370" "1772063064_D02" "pyramidal SS"
"371" "1772067074_C05" "pyramidal SS"
"372" "1772067066_B03" "pyramidal SS"
"373" "1772063068_F11" "pyramidal SS"
"374" "1772067070_D06" "pyramidal SS"
"375" "1772067074_B09" "pyramidal SS"
"376" "1772063077_D12" "pyramidal SS"
"377" "1772067074_F03" "pyramidal SS"
"378" "1772071041_C05" "pyramidal SS"
"379" "1772067070_G12" "pyramidal SS"
"380" "1772071041_A02" "pyramidal SS"
"381" "1772067074_B01" "pyramidal SS"
"382" "1772062115_G01" "pyramidal SS"
"383" "1772067063_B12" "pyramidal SS"
"384" "1772067063_H04" "pyramidal SS"
"385" "1772067073_G09" "pyramidal SS"
"386" "1772067069_E04" "pyramidal SS"
"387" "1772067073_C04" "pyramidal SS"
"388" "1772063071_H01" "pyramidal SS"
"389" "1772063065_A10" "pyramidal SS"
"390" "1772063068_D04" "pyramidal SS"
"391" "1772067069_F05" "pyramidal SS"
"392" "1772063068_F07" "pyramidal SS"
"393" "1772063068_A02" "pyramidal SS"
"394" "1772063063_E04" "pyramidal SS"
"395" "1772063065_F02" "pyramidal SS"
"396" "1772067074_F12" "pyramidal SS"
"397" "1772067064_A01" "pyramidal SS"
"398" "1772063064_B11" "pyramidal SS"
"399" "1772062128_E10" "pyramidal SS"
"400" "1772063065_F03" "pyramidal SS"
"401" "1772060224_B06" "pyramidal SS"
"402" "1772071041_H05" "pyramidal SS"
"403" "1772062109_E06" "pyramidal SS"
"404" "1772071040_G09" "pyramidal SS"
"405" "1772071041_E10" "pyramidal SS"
"406" "1772062128_D07" "pyramidal SS"
"407" "1772062128_D10" "pyramidal SS"
"408" "1772063078_B12" "pyramidal SS"
"409" "1772071041_A06" "pyramidal SS"
"410" "1772060240_F12" "pyramidal SS"
"411" "1772063065_D04" "pyramidal SS"
"412" "1772062116_B11" "pyramidal SS"
"413" "1772063078_A04" "pyramidal SS"
"414" "1772063068_D03" "pyramidal SS"
"415" "1772062128_D12" "pyramidal SS"
"416" "1772063070_E01" "pyramidal SS"
"417" "1772062116_G05" "pyramidal SS"
"418" "1772063068_H12" "pyramidal SS"
"419" "1772063070_B11" "pyramidal SS"
"420" "1772071041_A05" "pyramidal SS"
"421" "1772060240_H05" "pyramidal SS"
"422" "1772063065_F04" "pyramidal SS"
"423" "1772063065_G10" "pyramidal SS"
"424" "1772067074_D10" "pyramidal SS"
"425" "1772071040_B12" "pyramidal SS"
"426" "1772063065_D12" "pyramidal SS"
"427" "1772063065_B02" "pyramidal SS"
"428" "1772067074_F10" "pyramidal SS"
"429" "1772060224_H02" "pyramidal SS"
"430" "1772063068_E06" "pyramidal SS"
"431" "1772071041_B01" "pyramidal SS"
"432" "1772060226_F11" "pyramidal SS"
"433" "1772067069_C08" "pyramidal SS"
"434" "1772063065_C08" "pyramidal SS"
"435" "1772062116_A06" "pyramidal SS"
"436" "1772063061_A05" "pyramidal SS"
"437" "1772063068_F02" "pyramidal SS"
"438" "1772060240_D06" "pyramidal SS"
"439" "1772063063_D11" "pyramidal SS"
"440" "1772062115_C11" "pyramidal SS"
"441" "1772071041_C10" "pyramidal SS"
"442" "1772060225_C12" "pyramidal SS"
"443" "1772063068_G11" "pyramidal SS"
"444" "1772067069_C05" "pyramidal SS"
"445" "1772063065_C09" "pyramidal SS"
"446" "1772063065_E02" "pyramidal SS"
"447" "1772063068_G10" "pyramidal SS"
"448" "1772067073_B04" "pyramidal SS"
"449" "1772067074_D08" "pyramidal SS"
"450" "1772071040_H01" "pyramidal SS"
"451" "1772063062_F07" "pyramidal SS"
"452" "1772062113_E01" "pyramidal SS"
"453" "1772063071_E07" "pyramidal SS"
"454" "1772063065_D02" "pyramidal SS"
"455" "1772063071_C08" "pyramidal SS"
"456" "1772063062_F05" "pyramidal SS"
"457" "1772063068_A06" "pyramidal SS"
"458" "1772066104_F10" "pyramidal SS"
"459" "1772058177_G10" "pyramidal SS"
"460" "1772063068_H01" "pyramidal SS"
"461" "1772067073_F10" "pyramidal SS"
"462" "1772063062_C04" "pyramidal SS"
"463" "1772062109_A11" "pyramidal SS"
"464" "1772063068_C10" "pyramidal SS"
"465" "1772063068_G04" "pyramidal SS"
"466" "1772063065_A03" "pyramidal SS"
"467" "1772062128_A09" "pyramidal SS"
"468" "1772063071_F08" "pyramidal SS"
"469" "1772067058_G11" "pyramidal CA1"
"470" "1772071015_D07" "pyramidal SS"
"471" "1772071015_D08" "pyramidal SS"
"472" "1772067054_G11" "pyramidal CA1"
"473" "1772067064_A12" "pyramidal SS"
"474" "1772067066_C03" "pyramidal SS"
"475" "1772066095_D06" "pyramidal CA1"
"476" "1772062109_F09" "pyramidal SS"
"477" "1772067082_D08" "pyramidal CA1"
"478" "1772060224_C03" "pyramidal SS"
"479" "1772071040_H03" "pyramidal SS"
"480" "1772067059_E04" "pyramidal CA1"
"481" "1772067058_C12" "pyramidal CA1"
"482" "1772066073_C01" "pyramidal CA1"
"483" "1772067076_A05" "pyramidal CA1"
"484" "1772067059_A05" "pyramidal CA1"
"485" "1772067082_B12" "pyramidal CA1"
"486" "1772066100_D12" "pyramidal CA1"
"487" "1772067076_C01" "pyramidal CA1"
"488" "1772067082_F05" "pyramidal CA1"
"489" "1772067082_C10" "pyramidal CA1"
"490" "1772067082_G07" "pyramidal CA1"
"491" "1772066098_B05" "pyramidal CA1"
"492" "1772066097_H07" "pyramidal CA1"
"493" "1772066102_F02" "pyramidal CA1"
"494" "1772063062_D03" "pyramidal SS"
"495" "1772067064_A11" "pyramidal SS"
"496" "1772067073_E06" "pyramidal SS"
"497" "1772071040_F10" "pyramidal SS"
"498" "1772071040_D11" "pyramidal SS"
"499" "1772062116_B02" "pyramidal SS"
"500" "1772071041_D08" "pyramidal SS"
"501" "1772067064_G12" "pyramidal SS"
"502" "1772062109_E09" "pyramidal SS"
"503" "1772067074_A02" "pyramidal SS"
"504" "1772067074_C04" "pyramidal SS"
"505" "1772071040_F06" "pyramidal SS"
"506" "1772067074_G06" "pyramidal SS"
"507" "1772067063_B09" "pyramidal SS"
"508" "1772071041_F02" "pyramidal SS"
"509" "1772067073_B06" "pyramidal SS"
"510" "1772067073_G04" "pyramidal SS"
"511" "1772067070_B11" "pyramidal SS"
"512" "1772062111_H10" "pyramidal SS"
"513" "1772067063_A01" "pyramidal SS"
"514" "1772071040_A11" "pyramidal SS"
"515" "1772071041_E04" "pyramidal SS"
"516" "1772062118_B11" "pyramidal SS"
"517" "1772067070_G04" "pyramidal SS"
"518" "1772071040_E02" "pyramidal SS"
"519" "1772071041_D11" "pyramidal SS"
"520" "1772071040_B06" "pyramidal SS"
"521" "1772067070_H11" "pyramidal SS"
"522" "1772063071_C01" "pyramidal SS"
"523" "1772062111_B01" "pyramidal SS"
"524" "1772063068_C01" "pyramidal SS"
"525" "1772060240_B10" "pyramidal SS"
"526" "1772060240_B01" "pyramidal SS"
"527" "1772066096_B04" "pyramidal CA1"
"528" "1772060225_E01" "pyramidal SS"
"529" "1772063077_C12" "pyramidal SS"
"530" "1772063065_F01" "pyramidal SS"
"531" "1772062115_D01" "pyramidal SS"
"532" "1772062118_A01" "pyramidal SS"
"533" "1772063065_A01" "pyramidal SS"
"534" "1772067070_D10" "pyramidal SS"
"535" "1772071040_A01" "pyramidal SS"
"536" "1772063068_B10" "pyramidal SS"
"537" "1772067066_G02" "pyramidal SS"
"538" "1772063077_G04" "pyramidal SS"
"539" "1772063071_E01" "pyramidal SS"
"540" "1772067070_D05" "pyramidal SS"
"541" "1772062111_H11" "pyramidal SS"
"542" "1772071041_B12" "pyramidal SS"
"543" "1772063077_E05" "pyramidal SS"
"544" "1772067073_F02" "pyramidal SS"
"545" "1772062111_A09" "pyramidal SS"
"546" "1772063061_A10" "pyramidal SS"
"547" "1772062128_C12" "pyramidal SS"
"548" "1772063061_A03" "pyramidal SS"
"549" "1772063074_E06" "pyramidal SS"
"550" "1772063064_H01" "pyramidal SS"
"551" "1772071014_C08" "pyramidal SS"
"552" "1772067064_H05" "pyramidal SS"
"553" "1772063068_A12" "pyramidal SS"
"554" "1772062109_H06" "pyramidal SS"
"555" "1772062109_D03" "pyramidal SS"
"556" "1772067065_G07" "pyramidal SS"
"557" "1772062128_D01" "pyramidal SS"
"558" "1772071014_H02" "pyramidal SS"
"559" "1772063061_H04" "pyramidal SS"
"560" "1772062115_C09" "pyramidal SS"
"561" "1772063078_E02" "pyramidal SS"
"562" "1772063061_H12" "pyramidal SS"
"563" "1772063061_E05" "pyramidal SS"
"564" "1772058177_G03" "pyramidal SS"
"565" "1772063068_E07" "pyramidal SS"
"566" "1772063061_C11" "pyramidal SS"
"567" "1772063061_D11" "pyramidal SS"
"568" "1772063061_E06" "pyramidal SS"
"569" "1772063071_A03" "pyramidal SS"
"570" "1772058171_C07" "pyramidal SS"
"571" "1772063061_G12" "pyramidal SS"
"572" "1772062128_H06" "pyramidal SS"
"573" "1772062115_C08" "pyramidal SS"
"574" "1772063061_C02" "pyramidal SS"
"575" "1772063061_C06" "pyramidal SS"
"576" "1772063061_H01" "pyramidal SS"
"577" "1772063061_B06" "pyramidal SS"
"578" "1772063071_E12" "pyramidal SS"
"579" "1772058177_C10" "pyramidal SS"
"580" "1772058177_H05" "pyramidal SS"
"581" "1772063061_F06" "pyramidal SS"
"582" "1772058177_H07" "pyramidal SS"
"583" "1772058171_E01" "pyramidal SS"
"584" "1772063061_A02" "pyramidal SS"
"585" "1772063061_B01" "pyramidal SS"
"586" "1772063068_F09" "pyramidal SS"
"587" "1772063064_C02" "pyramidal SS"
"588" "1772063061_G01" "pyramidal SS"
"589" "1772063068_B04" "pyramidal SS"
"590" "1772063077_C06" "pyramidal SS"
"591" "1772063061_H08" "pyramidal SS"
"592" "1772062128_E06" "pyramidal SS"
"593" "1772063063_E11" "pyramidal SS"
"594" "1772063070_F01" "pyramidal SS"
"595" "1772063078_F03" "pyramidal SS"
"596" "1772062115_D06" "pyramidal SS"
"597" "1772063062_D12" "pyramidal SS"
"598" "1772062113_D06" "pyramidal SS"
"599" "1772063062_D06" "pyramidal SS"
"600" "1772062114_F10" "pyramidal SS"
"601" "1772063078_C04" "pyramidal SS"
"602" "1772063068_C12" "pyramidal SS"
"603" "1772062109_G11" "pyramidal SS"
"604" "1772062115_E09" "pyramidal SS"
"605" "1772063062_A03" "pyramidal SS"
"606" "1772062114_G07" "pyramidal SS"
"607" "1772062113_G03" "pyramidal SS"
"608" "1772067063_H06" "pyramidal SS"
"609" "1772062114_A02" "pyramidal SS"
"610" "1772062109_D07" "pyramidal SS"
"611" "1772062113_E03" "pyramidal SS"
"612" "1772067073_H12" "pyramidal SS"
"613" "1772062111_H03" "pyramidal SS"
"614" "1772067073_D11" "pyramidal SS"
"615" "1772063071_D09" "pyramidal SS"
"616" "1772063071_E09" "pyramidal SS"
"617" "1772062113_D03" "pyramidal SS"
"618" "1772063070_D11" "pyramidal SS"
"619" "1772067074_D06" "pyramidal SS"
"620" "1772063063_A07" "pyramidal SS"
"621" "1772062111_C10" "pyramidal SS"
"622" "1772071041_E08" "pyramidal SS"
"623" "1772063065_D09" "pyramidal SS"
"624" "1772062111_E07" "pyramidal SS"
"625" "1772067070_F11" "pyramidal SS"
"626" "1772063063_H04" "pyramidal SS"
"627" "1772067073_D12" "pyramidal SS"
"628" "1772071040_G12" "pyramidal SS"
"629" "1772062115_E10" "pyramidal SS"
"630" "1772063068_E12" "pyramidal SS"
"631" "1772060225_E04" "pyramidal SS"
"632" "1772063068_G01" "pyramidal SS"
"633" "1772063065_B10" "pyramidal SS"
"634" "1772063065_H05" "pyramidal SS"
"635" "1772060224_F11" "pyramidal SS"
"636" "1772062113_A04" "pyramidal SS"
"637" "1772071040_H08" "pyramidal SS"
"638" "1772063074_C06" "pyramidal SS"
"639" "1772063065_A08" "pyramidal SS"
"640" "1772063071_B03" "pyramidal SS"
"641" "1772067058_A05" "pyramidal CA1"
"642" "1772063071_E05" "pyramidal SS"
"643" "1772062113_B05" "pyramidal SS"
"644" "1772063078_E04" "pyramidal SS"
"645" "1772063068_C02" "pyramidal SS"
"646" "1772063068_E08" "pyramidal SS"
"647" "1772063068_C05" "pyramidal SS"
"648" "1772063070_D09" "pyramidal SS"
"649" "1772063077_B04" "pyramidal SS"
"650" "1772062114_B06" "pyramidal SS"
"651" "1772063065_B05" "pyramidal SS"
"652" "1772063078_D10" "pyramidal SS"
"653" "1772063078_E06" "pyramidal SS"
"654" "1772063078_G09" "pyramidal SS"
"655" "1772063070_F09" "pyramidal SS"
"656" "1772063068_B07" "pyramidal SS"
"657" "1772063068_A07" "pyramidal SS"
"658" "1772062114_G09" "pyramidal SS"
"659" "1772060224_C05" "pyramidal SS"
"660" "1772063078_C10" "pyramidal SS"
"661" "1772062128_F12" "pyramidal SS"
"662" "1772060240_F09" "pyramidal SS"
"663" "1772062128_A11" "pyramidal SS"
"664" "1772060240_E07" "pyramidal SS"
"665" "1772060240_E09" "pyramidal SS"
"666" "1772060240_D04" "pyramidal SS"
"667" "1772063068_D02" "pyramidal SS"
"668" "1772063063_A02" "pyramidal SS"
"669" "1772063068_E03" "pyramidal SS"
"670" "1772060240_A02" "pyramidal SS"
"671" "1772060240_C06" "pyramidal SS"
"672" "1772060240_B09" "pyramidal SS"
"673" "1772060240_A05" "pyramidal SS"
"674" "1772060240_G02" "pyramidal SS"
